County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Roberts,41971.00,37900000.00,67470.00,45308.00,7.8,10.2
Robertson,40394.00,698169000.00,44917.00,45181.00,15.8,25.6
Rockwall,61003.00,6140356000.00,102858.00,43042.00,5.1,6.9
Runnels,39816.00,407479000.00,42205.00,35849.00,16.9,23.9
Rusk,36485.00,1986623000.00,49788.00,43780.00,16.4,20.8
Sabine,34631.00,366708000.00,40641.00,37316.00,17.6,28.5
San Augustine,39879.00,328285000.00,38826.00,38384.00,22.2,34.3
San Jacinto,34514.00,991205000.00,47028.00,35112.00,17.5,28.4
San Patricio,43945.00,2939583000.00,53559.00,48612.00,17.3,26.1
San Saba,41233.00,249625000.00,43827.00,42027.00,16.8,28
Schleicher,40136.00,116195000.00,47317.00,45307.00,16.5,23.8
Scurry,42095.00,709975000.00,53059.00,56126.00,15.8,21.3
Shackelford,130461.00,424390000.00,57126.00,58884.00,13.4,20.5
Shelby,41666.00,1059078000.00,41961.00,37926.00,20.6,30.1
Sherman,49508.00,152435000.00,57052.00,42044.00,12.1,15.9
Smith,55229.00,12714831000.00,56848.00,45429.00,15,22.2
Somervell,45756.00,412536000.00,63929.00,59912.00,9.7,14.2
Starr,26316.00,1698035000.00,30490.00,30320.00,33.2,45.3
Stephens,39289.00,370612000.00,43115.00,39047.00,19.4,30.4
Sterling,58174.00,76266000.00,59064.00,44968.00,12.6,17.3
Stonewall,53416.00,72753000.00,46915.00,38952.00,14.6,17.8
Sutton,61478.00,231034000.00,54774.00,68360.00,14.2,22.6
Swisher,41977.00,313232000.00,43084.00,36306.00,19.2,29.2
Tarrant,51239.00,106829236000.00,66059.00,55632.00,12.1,16.8
Taylor,45333.00,6239643000.00,48040.00,42473.00,16,22.1
Terrell,48024.00,39524000.00,41413.00,42097.00,18.9,22.8
Terry,32062.00,393943000.00,41268.00,46249.00,22.4,32.6
Throckmorton,35941.00,54450000.00,42701.00,28655.00,14.3,24.3
Titus,34718.00,1146830000.00,45604.00,38006.00,18.6,29.7
Tom Green,45993.00,5435909000.00,51393.00,43100.00,15.5,23.7
Travis,67504.00,84294574000.00,76255.00,66723.00,12,15.2
Trinity,34514.00,508734000.00,40486.00,33543.00,17.7,30.3
Tyler,32081.00,696027000.00,44041.00,35594.00,18.2,26.4
Upshur,36645.00,1511967000.00,48554.00,37490.00,15.9,21.1
Upton,44545.00,163525000.00,53867.00,68076.00,14.2,20.2
Uvalde,39458.00,1059298000.00,39725.00,34063.00,22.9,35
Val Verde,36554.00,1798748000.00,44276.00,37204.00,18.9,28.9
Van Zandt,38200.00,2139922000.00,51152.00,35278.00,15.6,20.8
Victoria,46142.00,4246686000.00,51646.00,46341.00,15.4,21.4
Walker,28016.00,2030607000.00,43681.00,40759.00,26.1,28.3
Waller,39995.00,2124793000.00,59807.00,46469.00,15.9,19.9
Ward,49916.00,585012000.00,53621.00,63328.00,13.9,17.7
Washington,52265.00,1834903000.00,54332.00,39738.00,13.8,19.5
Webb,31635.00,8728522000.00,44919.00,36564.00,25.7,34.6
Wharton,41473.00,1726056000.00,48040.00,39491.00,16.8,26
Wheeler,41801.00,216990000.00,48018.00,41950.00,14,20.9
Wichita,43170.00,5701223000.00,47477.00,39945.00,17.8,22.4
Wilbarger,42041.00,538962000.00,44735.00,37216.00,15.3,23.6
Willacy,28593.00,615184000.00,33171.00,35510.00,35,44.5
Williamson,50776.00,28775524000.00,87817.00,55645.00,6.4,7.9
Wilson,44255.00,2222659000.00,71207.00,38858.00,10.9,14.6
Winkler,57584.00,444545000.00,56781.00,66480.00,14.1,20.1
Wise,43752.00,2988466000.00,66387.00,46714.00,9.9,14.1
Wood,38152.00,1721753000.00,48384.00,37726.00,15.3,24.9
Yoakum,41112.00,353197000.00,61560.00,62190.00,12.1,16.3
Young,50231.00,906413000.00,49301.00,42430.00,13.9,20.4
Zapata,28294.00,401494000.00,33160.00,50175.00,32.1,49.1
Zavala,29202.00,349931000.00,30076.00,36398.00,32,44.5
